customer_city,seller_city,delivery_performance
aparecida de goiania,colombo,10 days 06:22:20.000000000
pradopolis,brasilia,10 days 06:22:42.000000000
jaboatao dos guararapes,sao luis,10 days 06:23:59.000000000
esperanca,ibitinga,10 days 06:24:37.000000000
japura,salto,10 days 06:25:14.000000000
carpina,nilopolis,10 days 06:25:19.000000000
gaspar,sao jose dos campos,10 days 06:25:23.000000000
itaguai,ibitinga,10 days 06:25:28.000000000
vila velha,osasco,10 days 06:25:36.000000000
caldas novas,ibitinga,10 days 06:25:53.000000000
divinopolis,itaquaquecetuba,10 days 06:25:56.000000000
porciuncula,santo andre,10 days 06:26:26.000000000
juina,lages,10 days 06:26:32.000000000
candeias,praia grande,10 days 06:26:58.000000000
hortolandia,maua,10 days 06:27:17.000000000
ipiranga,piracicaba,10 days 06:28:04.000000000
timbo,mogi das cruzes,10 days 06:29:04.000000000
maringa,timbo,10 days 06:29:36.000000000
coroados,batatais,10 days 06:29:39.000000000
joinville,maringa,10 days 06:29:47.000000000
lages,teresopolis,10 days 06:30:30.000000000
pirapozinho,guarulhos,10 days 06:30:37.000000000
vila velha,capivari,10 days 06:31:37.000000000
contagem,mogi guacu,10 days 06:32:41.000000000
imbe,campinas,10 days 06:33:17.000000000
frei inocencio,monte siao,10 days 06:33:22.000000000
guarulhos,brusque,10 days 06:33:56.000000000
indaiatuba,porto alegre,10 days 06:34:33.000000000
pindai,juiz de fora,10 days 06:34:44.000000000
rio do sul,novo hamburgo,10 days 06:34:57.000000000
cachoeira paulista,ibitinga,10 days 06:35:00.000000000
sao bernardo do campo,volta redonda,10 days 06:37:22.000000000
sao vicente,porto alegre,10 days 06:37:24.000000000
itaquaquecetuba,santa barbara d´oeste,10 days 06:37:39.000000000
sao sebastiao do paraiso,ilheus,10 days 06:37:43.000000000
campo novo do parecis,presidente prudente,10 days 06:37:48.000000000
nova iguacu,ribeirao preto / sao paulo,10 days 06:38:35.000000000
ortigueira,salto,10 days 06:38:45.000000000
sao jose dos pinhais,uberlandia,10 days 06:39:03.000000000
sao joao,sao paulo,10 days 06:39:28.000000000
espirito santo do pinhal,artur nogueira,10 days 06:39:42.000000000
peabiru,sao bernardo do campo,10 days 06:40:17.000000000
cerqueira cesar,mirandopolis,10 days 06:42:14.000000000
braganca paulista,curitiba,10 days 06:43:15.000000000
brasilia,scao jose do rio pardo,10 days 06:43:16.000000000
barra mansa,cotia,10 days 06:43:35.000000000
cascavel,scao jose do rio pardo,10 days 06:44:20.000000000
campina grande do sul,cariacica,10 days 06:45:01.000000000
tijucas,sao paulo,10 days 06:45:15.000000000
embu das artes,birigui,10 days 06:45:52.000000000
coluna,betim,10 days 06:46:06.000000000
criciuma,divinopolis,10 days 06:47:25.000000000
sao lourenco,sao caetano do sul,10 days 06:47:58.000000000
itapevi,recife,10 days 06:49:04.000000000
monte azul paulista,mogi guacu,10 days 06:49:40.000000000
santos dumont,curitiba,10 days 06:50:10.000000000
tres rios,ribeirao preto,10 days 06:50:28.000000000
brumadinho,aparecida de goiania,10 days 06:50:52.000000000
nova andradina,sao ludgero,10 days 06:51:58.000000000
lima duarte,sao paulo,10 days 06:52:20.000000000
inaciolandia,belo horizonte,10 days 06:52:45.000000000
sao bento do sul,campo limpo paulista,10 days 06:53:21.000000000
pitangueiras,jaragua do sul,10 days 06:54:48.000000000
lauro de freitas,lages,10 days 06:55:26.000000000
cambui,ibitinga,10 days 06:56:00.000000000
senhor do bonfim,contagem,10 days 06:56:07.000000000
rio do campo,sao paulo,10 days 06:56:36.000000000
blumenau,presidente prudente,10 days 06:57:02.000000000
astorga,atibaia,10 days 06:57:31.000000000
nova iguacu,flores da cunha,10 days 06:57:36.000000000
santo amaro de campos,ilicinea,10 days 06:58:05.000000000
sao joao del rei,cascavel,10 days 06:58:21.000000000
jeceaba,ibitinga,10 days 06:58:24.000000000
primavera do leste,cascavel,10 days 06:58:25.000000000
patrocinio,piracicaba,10 days 06:58:58.000000000
palotina,ribeirao preto,10 days 06:59:29.000000000
sao jose dos pinhais,jussara,10 days 07:00:03.000000000
santa barbara d'oeste,arapongas,10 days 07:00:22.000000000
araruama,ribeirao preto,10 days 07:00:27.000000000
paranacity,praia grande,10 days 07:00:58.000000000
ipatinga,osasco,10 days 07:01:43.000000000
varzea paulista,sao jose dos pinhais,10 days 07:01:56.000000000
carai,paulo lopes,10 days 07:01:56.000000000
joao pessoa,cascavel,10 days 07:03:06.000000000
lins,sao goncalo,10 days 07:03:07.000000000
santa cruz das palmeiras,porto alegre,10 days 07:03:07.000000000
poa,goiania,10 days 07:04:19.000000000
barra mansa,maringa,10 days 07:04:46.000000000
almirante tamandare,barueri,10 days 07:06:08.000000000
montes claros,montenegro,10 days 07:06:21.000000000
astolfo dutra,ibitinga,10 days 07:06:28.000000000
joao pessoa,jussara,10 days 07:06:35.000000000
sao mateus,sorocaba,10 days 07:06:54.000000000
anita garibaldi,sao paulo,10 days 07:08:40.000000000
itacarambi,santo andre,10 days 07:08:49.000000000
botucatu,nova friburgo,10 days 07:09:15.000000000
barbacena,piracicaba,10 days 07:09:52.000000000
erechim,duque de caxias,10 days 07:10:28.000000000
para de minas,ipatinga,10 days 07:11:12.000000000
diamantino,sao paulo,10 days 07:11:36.000000000
mogi mirim,votorantim,10 days 07:11:52.000000000
divinopolis,tubarao,10 days 07:11:53.000000000
fortaleza,sao bernardo do campo,10 days 07:11:58.000000000
amparo,anapolis,10 days 07:12:04.000000000
recife,eunapolis,10 days 07:13:14.000000000
angical do piaui,sao paulo,10 days 07:14:12.000000000
vassouras,votuporanga,10 days 07:14:58.000000000
valentim gentil,itatiba,10 days 07:15:15.000000000
lages,salto,10 days 07:16:04.000000000
manga,ilicinea,10 days 07:16:20.000000000
taubate,parai,10 days 07:16:21.000000000
raposos,jacarei,10 days 07:17:54.000000000
franca,louveira,10 days 07:19:54.000000000
ribeirao bonito,guarulhos,10 days 07:19:58.000000000
brasilia,amparo,10 days 07:20:37.000000000
pederneiras,conchal,10 days 07:20:51.000000000
tapiratiba,blumenau,10 days 07:22:21.000000000
ibiam,rio de janeiro,10 days 07:22:45.000000000
volta redonda,porto alegre,10 days 07:24:47.000000000
sao joao evangelista,foz do iguacu,10 days 07:25:00.000000000
sarutaia,ibitinga,10 days 07:25:53.000000000
nova bassano,sao paulo,10 days 07:27:31.000000000
cajati,araraquara,10 days 07:27:58.000000000
santos,riberao preto,10 days 07:28:05.000000000
manhuacu,campinas,10 days 07:28:22.000000000
lorena,jundiai,10 days 07:28:45.000000000
vitoria da conquista,itau de minas,10 days 07:29:01.000000000
uruacu,presidente prudente,10 days 07:29:06.000000000
corinto,penapolis,10 days 07:29:45.000000000
maringa,praia grande,10 days 07:29:52.000000000
sao joao del rei,sao bernardo do campo,10 days 07:30:26.000000000
gramado,joinville,10 days 07:31:24.000000000
passa quatro,araguari,10 days 07:31:59.000000000
sao goncalo,campo bom,10 days 07:32:22.000000000
ribeirao preto,itauna,10 days 07:34:08.000000000
contagem,araraquara,10 days 07:34:28.000000000
conceicao do coite,ribeirao preto,10 days 07:34:28.000000000
laguna,nova friburgo,10 days 07:34:36.000000000
ipora do oeste,curitiba,10 days 07:34:58.000000000
urussanga,salto,10 days 07:35:15.000000000
mozarlandia,guara,10 days 07:35:57.000000000
erechim,ilicinea,10 days 07:36:37.000000000
canapolis,ribeirao preto,10 days 07:36:52.000000000
raposos,pedreira,10 days 07:38:18.000000000
santa luzia,loanda,10 days 07:39:14.000000000
maracanau,guarulhos,10 days 07:39:41.000000000
cocal,santa barbara d'oeste,10 days 07:39:48.000000000
recife,ouro fino,10 days 07:40:04.000000000
cedro de sao joao,sao paulo,10 days 07:41:59.000000000
tres rios,joinville,10 days 07:42:27.000000000
passo fundo,jacarei,10 days 07:42:39.000000000
sacramento,piracicaba,10 days 07:43:50.000000000
barueri,apucarana,10 days 07:44:29.000000000
visconde do rio branco,arapongas,10 days 07:44:44.000000000
afogados da ingazeira,campo limpo paulista,10 days 07:45:10.000000000
bambui,conchal,10 days 07:45:23.000000000
lagoa santa,pedreira,10 days 07:46:37.000000000
abre campo,belo horizonte,10 days 07:46:56.000000000
rio de janeiro,vila velha,10 days 07:47:01.000000000
bossoroca,sao paulo,10 days 07:47:10.000000000
sao joaquim,mineiros do tiete,10 days 07:47:29.000000000
xanxere,ribeirao preto,10 days 07:48:02.000000000
frutal,ribeirao pires,10 days 07:48:08.000000000
bauru,holambra,10 days 07:49:38.000000000
campos do jordao,campo limpo paulista,10 days 07:51:09.000000000
porto alegre,congonhas,10 days 07:51:10.000000000
mage,volta redonda,10 days 07:51:47.000000000
chopinzinho,carapicuiba,10 days 07:52:48.000000000
marica,cotia,10 days 07:53:28.000000000
santana do mundau,timbo,10 days 07:56:47.000000000
santa rita do sapucai,sao luis,10 days 07:56:58.000000000
sao carlos,sao bento,10 days 07:57:59.000000000
caldas,ibitinga,10 days 07:58:22.000000000
ortigueira,rio de janeiro,10 days 07:58:32.000000000
pitangui,guarulhos,10 days 07:59:01.000000000
jaboatao dos guararapes,brusque,10 days 08:00:01.000000000
vitoria,sorocaba,10 days 08:00:40.000000000
mirassol,londrina,10 days 08:01:17.000000000
carapicuiba,sao pedro,10 days 08:02:26.000000000
mogi das cruzes,queimados,10 days 08:02:45.000000000
caldas novas,santos,10 days 08:02:51.000000000
descalvado,rio de janeiro,10 days 08:02:58.000000000
fortaleza,brasilia,10 days 08:03:09.000000000
narandiba,riberao preto,10 days 08:03:15.000000000
goiania,araguari,10 days 08:03:16.000000000
campo mourao,ibitinga,10 days 08:03:37.000000000
sao jose dos campos,tubarao,10 days 08:03:40.000000000
campo largo,belo horizonte,10 days 08:04:11.000000000
santos,novo hamburgo,10 days 08:07:44.000000000
lapa,aparecida de goiania,10 days 08:07:50.000000000
colombo,cajamar,10 days 08:09:55.000000000
alagoinhas,rio de janeiro,10 days 08:11:21.000000000
cambui,piracicaba,10 days 08:12:12.000000000
catanduva,jacutinga,10 days 08:12:13.000000000
estancia,recife,10 days 08:13:24.000000000
jales,curitiba,10 days 08:13:32.000000000
campina verde,blumenau,10 days 08:13:36.000000000
serra,penapolis,10 days 08:14:09.000000000
campo grande,sarandi,10 days 08:16:17.000000000
ouro preto,praia grande,10 days 08:16:44.000000000
itagimirim,carazinho,10 days 08:17:19.000000000
sao caetano do sul,baependi,10 days 08:18:07.000000000
alagoa grande,sao paulo,10 days 08:18:52.000000000
pedra azul,mage,10 days 08:19:16.000000000
taio,sao jose do rio preto,10 days 08:19:19.000000000
bom jardim,sao paulo,10 days 08:19:51.000000000
juiz de fora,jales,10 days 08:19:59.000000000
engenheiro coelho,franca,10 days 08:20:41.000000000
fortaleza,novo hamburgo,10 days 08:23:19.000000000
riachinho,assis,10 days 08:24:32.000000000
jamapara,pedreira,10 days 08:25:12.000000000
florianopolis,divinopolis,10 days 08:25:55.000000000
joinville,osasco,10 days 08:26:32.000000000
inhapim,sao paulo,10 days 08:26:37.000000000
belo horizonte,braganca paulista,10 days 08:28:29.000000000
matao,praia grande,10 days 08:29:49.000000000
canoas,ibitinga,10 days 08:29:54.000000000
presidente prudente,maua,10 days 08:30:12.000000000
corbelia,macae,10 days 08:30:48.000000000
cuiaba,picarras,10 days 08:31:04.000000000
valenca,ribeirao preto,10 days 08:32:17.000000000
jacarei,ilicinea,10 days 08:36:08.000000000
sumidouro,ibitinga,10 days 08:37:12.000000000
ouro fino,mage,10 days 08:37:33.000000000
petropolis,leme,10 days 08:38:23.000000000
camboriu,sao paulo,10 days 08:39:07.000000000
rio de janeiro,vicosa,10 days 08:39:48.000000000
ibipora,dracena,10 days 08:39:51.000000000
rondonopolis,sumare,10 days 08:42:45.000000000
niteroi,vila velha,10 days 08:42:49.000000000
abreu e lima,sao jose dos campos,10 days 08:43:59.000000000
abreu e lima,sao pedro,10 days 08:43:59.000000000
guapore,curitiba,10 days 08:44:46.000000000
sao pedro da aldeia,osasco,10 days 08:45:57.000000000
americana,apucarana,10 days 08:46:03.000000000
cariacica,americana,10 days 08:46:10.000000000
santana do serido,rio de janeiro,10 days 08:46:17.000000000
promissao,guariba,10 days 08:48:24.000000000
garopaba,sao jose do rio preto,10 days 08:48:46.000000000
rio de janeiro,sao bento do sul,10 days 08:49:52.000000000
frutal,ibitinga,10 days 08:50:08.000000000
formosa,rio de janeiro,10 days 08:50:11.000000000
cianorte,jussara,10 days 08:50:31.000000000
mundo novo,guariba,10 days 08:52:06.000000000
monte santo de minas,ilicinea,10 days 08:52:18.000000000
araguari,sao jose do rio preto,10 days 08:55:04.000000000
alegre,sao paulo,10 days 08:55:33.000000000
campinas,penapolis,10 days 08:55:47.000000000
capinopolis,curitiba,10 days 08:56:38.000000000
xavantina,porto alegre,10 days 08:57:21.000000000
barueri,gama,10 days 08:58:46.000000000
nova ponte,sumare,10 days 08:59:01.000000000
bocaiuva,ponte nova,10 days 08:59:36.000000000
montes claros,arapongas,10 days 09:00:01.000000000
setubinha,praia grande,10 days 09:00:21.000000000
jundiai,santa rita do sapucai,10 days 09:02:00.000000000
campo grande,sao luis,10 days 09:03:06.000000000
pato branco,hortolandia,10 days 09:03:16.000000000
santana de parnaiba,sete lagoas,10 days 09:08:06.000000000
jandira,assis,10 days 09:10:19.000000000
belo horizonte,lagoa da prata,10 days 09:11:02.000000000
conselheiro lafaiete,jacarei,10 days 09:11:08.000000000
capivari,lauro de freitas,10 days 09:12:11.000000000
cravinhos,petropolis,10 days 09:13:09.000000000
patrocinio,curitiba,10 days 09:13:28.000000000
registro,campo limpo paulista,10 days 09:14:58.000000000
curiuva,santos,10 days 09:15:11.000000000
londrina,rio negrinho,10 days 09:15:37.000000000
ubatuba,marilia,10 days 09:16:26.000000000
potirendaba,ibitinga,10 days 09:16:41.000000000
santo antonio do monte,louveira,10 days 09:17:34.000000000
bombinhas,tupa,10 days 09:17:49.000000000
guarabira,rio de janeiro,10 days 09:18:32.000000000
sao joao del rei,brusque,10 days 09:18:54.000000000
pontes e lacerda,sao paulo,10 days 09:19:43.000000000
major vieira,brasilia,10 days 09:20:03.000000000
farroupilha,curitiba,10 days 09:20:35.000000000
esplanada,canoas,10 days 09:21:57.000000000
espirito santo do pinhal,atibaia,10 days 09:22:09.000000000
almirante tamandare,guariba,10 days 09:22:21.000000000
chapeco,riberao preto,10 days 09:22:38.000000000
paraiso do tocantins,itatiba,10 days 09:23:12.000000000
lavras,piracicaba,10 days 09:23:47.000000000
itanhaem,uba,10 days 09:25:50.000000000
coluna,santo andre,10 days 09:28:22.000000000
colombia,ibitinga,10 days 09:28:41.000000000
bertioga,lauro de freitas,10 days 09:28:43.000000000
valinhos,borda da mata,10 days 09:29:26.000000000
santa leopoldina,piracicaba,10 days 09:29:59.000000000
juiz de fora,limeira,10 days 09:31:00.000000000
cachoeira da prata,ibitinga,10 days 09:31:25.000000000
guaraciaba do norte,sao paulo,10 days 09:32:47.000000000
baependi,sao paulo,10 days 09:33:23.000000000
carmo da cachoeira,piracicaba,10 days 09:33:50.000000000
recife,juiz de fora,10 days 09:34:07.000000000
fortaleza,anapolis,10 days 09:34:25.000000000
brusque,ilicinea,10 days 09:34:42.000000000
santa cruz do rio pardo,vicente de carvalho,10 days 09:34:58.000000000
nilopolis,americana,10 days 09:35:00.000000000
sao lourenco da serra,jacarei,10 days 09:36:22.000000000
vitoria,joinville,10 days 09:37:00.000000000
piracanjuba,guarulhos,10 days 09:39:01.000000000
venda branca,guarulhos,10 days 09:40:08.000000000
laurentino,sao paulo,10 days 09:43:29.000000000
osasco,taubate,10 days 09:43:47.000000000
porto ferreira,itaquaquecetuba,10 days 09:43:53.000000000
rio claro,goiania,10 days 09:44:00.000000000
sao joao batista do gloria,penapolis,10 days 09:44:09.000000000
campo belo,ipaussu,10 days 09:47:37.000000000
lages,porto alegre,10 days 09:49:16.000000000
jaqueira,lauro de freitas,10 days 09:50:23.000000000
belo horizonte,dracena,10 days 09:53:30.000000000
crato,fortaleza,10 days 09:53:52.000000000
jundiai,braco do norte,10 days 09:53:53.000000000
bento goncalves,campo limpo paulista,10 days 09:54:23.000000000
nova xavantina,santa barbara d´oeste,10 days 09:55:00.000000000
santana do paraiso,porto alegre,10 days 09:55:17.000000000
coracao de jesus,birigui,10 days 09:55:25.000000000
sao sebastiao,joinville,10 days 09:55:44.000000000
nova iguacu,saquarema,10 days 09:55:59.000000000
itaiopolis,curitiba,10 days 09:56:11.000000000
guararapes,sarandi,10 days 09:57:08.000000000
contagem,gama,10 days 09:57:37.000000000
juazeiro do norte,campinas,10 days 09:57:39.000000000
florida paulista,contagem,10 days 09:58:09.000000000
sao joaquim da barra,jau,10 days 09:58:58.000000000
sao jose dos campos,santa rita do sapucai,10 days 09:59:28.000000000
catalao,curitiba,10 days 10:00:30.000000000
joinville,guara,10 days 10:00:42.000000000
gramado,ibitinga,10 days 10:00:52.000000000
espigao alto do iguacu,belo horizonte,10 days 10:02:39.000000000
mirandiba,ibitinga,10 days 10:03:43.000000000
volta redonda,jacarei,10 days 10:03:54.000000000
florianopolis,sorocaba,10 days 10:06:49.000000000
schroeder,sao jose do rio preto,10 days 10:07:23.000000000
eunapolis,uberlandia,10 days 10:09:05.000000000
campo grande,novo hamburgo,10 days 10:09:28.000000000
juiz de fora,sete lagoas,10 days 10:11:13.000000000
amparo,capivari,10 days 10:11:25.000000000
umuarama,belo horizonte,10 days 10:11:36.000000000
iguaba grande,ibitinga,10 days 10:14:13.000000000
alvorada,lauro de freitas,10 days 10:14:57.000000000
espirito santo do pinhal,embu guacu,10 days 10:15:30.000000000
sao sebastiao do paraiso,brusque,10 days 10:17:16.000000000
franco da rocha,mage,10 days 10:17:19.000000000
bage,santo angelo,10 days 10:18:18.000000000
juazeiro do norte,santo andre,10 days 10:18:41.000000000
campos borges,santo andre,10 days 10:18:47.000000000
senador canedo,praia grande,10 days 10:19:46.000000000
jardim alegre,cajamar,10 days 10:20:41.000000000
itapipoca,brejao,10 days 10:21:07.000000000
nova lima,sao jose do rio preto,10 days 10:21:45.000000000
ivinhema,sao paulo,10 days 10:21:52.000000000
ipora,itaquaquecetuba,10 days 10:21:58.000000000
vila velha,caxias do sul,10 days 10:22:38.000000000
porto alegre,araraquara,10 days 10:22:45.000000000
ubatuba,cajamar,10 days 10:23:08.000000000
rio das ostras,blumenau,10 days 10:23:55.000000000
itauna,guarulhos,10 days 10:24:27.000000000
mariana,uberlandia,10 days 10:25:52.000000000
floriano,laranjal paulista,10 days 10:26:15.000000000
limeira,congonhas,10 days 10:27:50.000000000
trindade,betim,10 days 10:29:36.000000000
sao jose do rio pardo,osasco,10 days 10:29:49.000000000
tocantinopolis,brasilia,10 days 10:30:40.000000000
miguel pereira,brasilia,10 days 10:31:10.000000000
americana,baependi,10 days 10:31:29.000000000
cacapava,montenegro,10 days 10:32:21.000000000
santa barbara d'oeste,itaquaquecetuba,10 days 10:32:42.000000000
porto alegre,carazinho,10 days 10:33:58.000000000
ribeirao pires,joinville,10 days 10:34:20.000000000
barra do pirai,pradopolis,10 days 10:35:07.000000000
rio bonito,sao goncalo,10 days 10:35:49.000000000
bertioga,cascavel,10 days 10:36:00.000000000
santa rita d'oeste,guarulhos,10 days 10:36:52.000000000
sao carlos,recife,10 days 10:39:43.000000000
francisco beltrao,laranjal paulista,10 days 10:40:35.000000000
itajai,ibitinga,10 days 10:40:56.000000000
resende,sao jose do rio preto,10 days 10:41:01.000000000
santo estevao,sao paulo,10 days 10:44:03.000000000
corumbatai,sao paulo,10 days 10:44:56.000000000
ponta grossa,sao goncalo,10 days 10:46:39.000000000
itaperuna,sao paulo,10 days 10:46:43.000000000
contagem,cascavel,10 days 10:47:41.000000000
contagem,blumenau,10 days 10:47:41.000000000
iguape,pedreira,10 days 10:48:24.000000000
silveiras,piracicaba,10 days 10:48:30.000000000
miracema,sao paulo,10 days 10:49:28.000000000
santana de parnaiba,sao caetano do sul,10 days 10:51:29.000000000
blumenau,tabao da serra,10 days 10:53:28.000000000
varjao de minas,petropolis,10 days 10:54:05.000000000
itaperuna,sao bernardo do campo,10 days 10:54:21.000000000
itaperuna,jundiai,10 days 10:55:14.000000000
berilo,porto belo,10 days 10:55:47.000000000
barra do bugres,foz do iguacu,10 days 10:56:55.000000000
carlopolis,jau,10 days 10:57:45.000000000
teresopolis,garuva,10 days 10:59:01.000000000
lajeado,indaiatuba,10 days 10:59:16.000000000
bauru,sao jose,10 days 11:00:04.000000000
birigui,sao goncalo,10 days 11:01:08.000000000
rio branco,itapecerica da serra,10 days 11:01:21.000000000
limeira,sao jose dos campos,10 days 11:02:46.000000000
rio de janeiro,sarandi,10 days 11:03:26.000000000
sao jose,ilicinea,10 days 11:06:10.000000000
florestopolis,guarulhos,10 days 11:06:29.000000000
parnamirim,navegantes,10 days 11:07:21.000000000
pedreira,maringa,10 days 11:08:28.000000000
flores da cunha,maringa,10 days 11:08:33.000000000
catalao,montenegro,10 days 11:08:58.000000000
duque de caxias,umuarama,10 days 11:10:24.000000000
francisco morato,sao jose do rio preto,10 days 11:10:41.000000000
lagoa da prata,ibitinga,10 days 11:11:00.000000000
louveira,sao jose do rio preto,10 days 11:11:01.000000000
aparecida de goiania,petropolis,10 days 11:11:53.000000000
teresina,sao jose dos pinhais,10 days 11:12:54.000000000
cachoeira paulista,jau,10 days 11:14:25.000000000
assis,pirituba,10 days 11:14:50.000000000
vila muriqui,ribeirao preto,10 days 11:17:38.000000000
aguas de lindoia,navegantes,10 days 11:19:31.000000000
crisopolis,araraquara,10 days 11:19:45.000000000
nova xavantina,campinas,10 days 11:20:23.000000000
atibaia,brusque,10 days 11:21:00.000000000
rio de janeiro,auriflama/sp,10 days 11:22:08.000000000
aparecida de goiania,sao jose do rio preto,10 days 11:22:10.000000000
uberlandia,aracatuba,10 days 11:26:54.000000000
itaquaquecetuba,apucarana,10 days 11:27:38.000000000
telemaco borba,salto,10 days 11:27:43.000000000
nova palma,sao paulo,10 days 11:27:46.000000000
crato,lauro de freitas,10 days 11:27:52.000000000
niteroi,mococa,10 days 11:28:23.000000000
montenegro,bariri,10 days 11:28:39.000000000
sao roque,porto alegre,10 days 11:28:40.000000000
chapada gaucha,atibaia,10 days 11:30:42.000000000
mara rosa,campo do meio,10 days 11:31:04.000000000
irati,guarulhos,10 days 11:32:36.000000000
balneario camboriu,sao jose do rio preto,10 days 11:33:31.000000000
ribeirao preto,sarandi,10 days 11:33:55.000000000
maracanau,goiania,10 days 11:34:32.000000000
ilheus,ibitinga,10 days 11:35:49.000000000
volta redonda,itatiba,10 days 11:36:07.000000000
jundiai,cambe,10 days 11:36:13.000000000
jaboticabal,curitiba,10 days 11:36:38.000000000
itapecerica da serra,porto ferreira,10 days 11:37:14.000000000
salvador,jacarei,10 days 11:40:22.000000000
barra do pirai,piracicaba,10 days 11:41:07.000000000
nova friburgo,sao jose dos campos,10 days 11:41:47.000000000
maceio,brasilia,10 days 11:42:29.000000000
diadema,maringa,10 days 11:44:24.000000000
itajuba,ribeirao preto,10 days 11:44:33.000000000
sao jose dos campos,belo horizonte,10 days 11:44:35.000000000
brasilia,ipatinga,10 days 11:44:48.000000000
caucaia,sao bernardo do campo,10 days 11:46:33.000000000
lagoa santa,bauru,10 days 11:46:38.000000000
nova serrana,congonhal,10 days 11:46:55.000000000
inhapim,domingos martins,10 days 11:48:53.000000000
japeri,santo andre,10 days 11:49:38.000000000
nova iguacu,formiga,10 days 11:49:58.000000000
caratinga,praia grande,10 days 11:50:26.000000000
jaiba,ibitinga,10 days 11:50:51.000000000
juina,campinas,10 days 11:51:18.000000000
arroio dos ratos,cafelandia,10 days 11:52:01.000000000
esplanada,nova iguacu,10 days 11:53:53.000000000
recife,jaboticabal,10 days 11:56:42.000000000
mariana,praia grande,10 days 11:59:10.000000000
ivaipora,sao bernardo do campo,10 days 12:02:28.000000000
sao paulo,jaragua,10 days 12:03:01.000000000
nilopolis,pinhais,10 days 12:03:55.000000000
macae,aperibe,10 days 12:04:38.000000000
itu,scao jose do rio pardo,10 days 12:06:14.000000000
andradas,sao jose do rio preto,10 days 12:07:32.000000000
andradas,salto,10 days 12:07:32.000000000
peruibe,ibitinga,10 days 12:09:40.000000000
campo grande,piracicaba,10 days 12:09:48.000000000
taubate,sao luis,10 days 12:12:58.000000000
uberlandia,itatiba,10 days 12:15:07.000000000
taubate,taboao da serra,10 days 12:15:26.000000000
irati,montenegro,10 days 12:15:35.000000000
ipora,sao jose do rio preto,10 days 12:18:18.000000000
jaragua do sul,ilicinea,10 days 12:22:44.000000000
ipatinga,itajai,10 days 12:29:04.000000000
almenara,sao paulo,10 days 12:29:12.000000000
barra do pirai,limeira,10 days 12:31:21.000000000
passo fundo,sao bernardo do campo,10 days 12:31:40.000000000
itapura,itatiba,10 days 12:31:40.000000000
catas altas,serra negra,10 days 12:33:36.000000000
embu das artes,guariba,10 days 12:34:15.000000000
guariba,barueri,10 days 12:36:10.000000000
conservatoria,ipatinga,10 days 12:38:35.000000000
porto ferreira,petropolis,10 days 12:38:54.000000000
paracatu,foz do iguacu,10 days 12:40:03.000000000
juazeiro,jacarei,10 days 12:40:53.000000000
angelo frechiani,sao bernardo do campo,10 days 12:42:42.000000000
itapolis,curitiba,10 days 12:45:57.000000000
cruz das almas,salto,10 days 12:46:06.000000000
conceicao do castelo,goiania,10 days 12:46:37.000000000
aracatuba,santo antonio de posse,10 days 12:47:48.000000000
guaxupe,petropolis,10 days 12:47:56.000000000
caxias do sul,serra negra,10 days 12:53:44.000000000
monte santo de minas,assis,10 days 12:58:24.000000000
mesquita,araguari,10 days 13:00:14.000000000
pompeia,campinas,10 days 13:01:02.000000000
itaocara,ribeirao preto,10 days 13:03:15.000000000
barueri,joinville,10 days 13:03:51.000000000
sao carlos,mandirituba,10 days 13:08:58.000000000
santo estevao,maua,10 days 13:09:09.000000000
santo amaro da imperatriz,araguari,10 days 13:09:53.000000000
guarulhos,mandaguacu,10 days 13:12:57.000000000
marica,cajamar,10 days 13:15:00.000000000
rincao,guarulhos,10 days 13:16:05.000000000
sorocaba,uberlandia,10 days 13:16:27.000000000
salvador,guariba,10 days 13:19:36.000000000
cardoso moreira,ibitinga,10 days 13:19:38.000000000
ibiruba,londrina,10 days 13:21:39.000000000
sao bernardo do campo,gama,10 days 13:24:16.000000000
timoteo,recife,10 days 13:25:40.000000000
cacoal,sao paulo,10 days 13:26:17.000000000
campo grande,sumare,10 days 13:26:23.000000000
serra,goiania,10 days 13:27:03.000000000
calcado,lauro de freitas,10 days 13:28:22.000000000
lagoa vermelha,ibitinga,10 days 13:32:02.000000000
rio do sul,campinas,10 days 13:32:28.000000000
francisco morato,sorocaba,10 days 13:32:41.000000000
anchieta,brejao,10 days 13:32:46.000000000
montalvania,belo horizonte,10 days 13:35:21.000000000
sao raimundo nonato,salto,10 days 13:37:13.000000000
itarare,mogi das cruzes,10 days 13:37:29.000000000
cubatao,sao luis,10 days 13:39:05.000000000
osasco,araguari,10 days 13:40:35.000000000
juiz de fora,jaboticabal,10 days 13:43:57.000000000
santa isabel do para,santo andre,10 days 13:44:22.000000000
americo de campos,osasco,10 days 13:44:23.000000000
carmo do rio verde,santo andre,10 days 13:44:40.000000000
sao paulo,uruguaiana,10 days 13:46:41.000000000
sete lagoas,salto,10 days 13:47:55.000000000
andrelandia,sao paulo,10 days 13:48:35.000000000
uberlandia,santa rita do sapucai,10 days 13:50:07.000000000
ribeirao das neves,sao caetano do sul,10 days 13:50:41.000000000
porto velho,cuiaba,10 days 13:50:54.000000000
santo antonio de padua,sao bernardo do campo,10 days 13:51:09.000000000
barretos,ampere,10 days 13:52:15.000000000
cesario lange,campinas,10 days 13:53:11.000000000
datas,sao paulo,10 days 13:53:59.000000000
taboao da serra,votorantim,10 days 13:54:44.000000000
